,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,795,1799,-1,
1,2,1,1,0,0,0,0,0,795,282,-1,
2,3,1,1,1,0,0,0,0,795,282,-1,
3,4,1,1,1,1,0,0,0,795,282,-1,
4,5,1,1,1,1,1,0,0,795,282,95, 
5,2,1,2,0,0,0,100,343,600,331,-1,
6,3,1,2,1,0,0,100,343,600,331,-1,
7,4,1,2,1,1,0,112,343,588,31,-1,
8,5,1,2,1,1,1,112,346,31,24,0,“:z
9,5,1,2,1,1,2,161,343,44,27,91,ONE
10,5,1,2,1,1,3,221,343,73,27,91,THREE
11,5,1,2,1,1,4,312,344,103,27,71,SEAFOOD
12,5,1,2,1,1,5,432,344,148,29,92,RESTAURANT
13,5,1,2,1,1,6,597,346,43,27,93,SDN
14,5,1,2,1,1,7,657,346,43,28,91,BHD
15,4,1,2,1,2,0,314,381,158,32,-1,
16,5,1,2,1,2,1,314,381,158,32,26,(11209081)
17,4,1,2,1,3,0,102,418,598,33,-1,
18,5,1,2,1,3,1,102,418,68,29,71,"NU.1,"
19,5,1,2,1,3,2,192,418,72,28,92,TAMAN
20,5,1,2,1,3,3,281,419,42,27,92,SRI
21,5,1,2,1,3,4,341,420,115,31,92,"DENGKIL,"
22,5,1,2,1,3,5,476,421,74,27,92,JALAN
23,5,1,2,1,3,6,567,421,43,27,92,AIR
24,5,1,2,1,3,7,627,421,73,28,87,HITAM
25,4,1,2,1,4,0,221,456,355,32,-1,
26,5,1,2,1,4,1,221,456,73,27,93,43800
27,5,1,2,1,4,2,311,456,115,32,92,"DENGKIL,"
28,5,1,2,1,4,3,446,458,130,28,91,SELANGOR.
29,4,1,2,1,5,0,193,494,414,34,-1,
30,5,1,2,1,5,1,193,494,55,31,91,(GST
31,5,1,2,1,5,2,266,495,54,31,90,Reg.
32,5,1,2,1,5,3,343,495,26,29,93,No
33,5,1,2,1,5,4,391,504,5,20,91,:
34,5,1,2,1,5,5,416,496,191,32,88,000670224384)
35,4,1,2,1,6,0,221,533,325,28,-1,
36,5,1,2,1,6,1,221,533,86,26,92,Tax
37,5,1,2,1,6,2,343,533,203,28,86,Invoice
38,4,1,2,1,7,0,101,568,235,30,-1,
39,5,1,2,1,7,1,101,568,145,28,91,Table
40,5,1,2,1,7,2,280,569,56,29,96,24
41,4,1,2,1,8,0,130,601,539,42,-1,
42,5,1,2,1,8,1,130,601,250,42,50,Bill4:V001~540401
43,5,1,2,1,8,2,461,608,99,28,0,Ordert:
44,5,1,2,1,8,3,584,609,85,27,95,140508
45,4,1,2,1,9,0,100,643,418,31,-1,
46,5,1,2,1,9,1,100,643,58,27,91,Date
47,5,1,2,1,9,2,211,651,4,20,86,:
48,5,1,2,1,9,3,238,644,146,29,77,14-06-2018
49,5,1,2,1,9,4,401,645,117,29,96,20:41:44
50,2,1,3,0,0,0,95,680,603,1083,-1,
51,3,1,3,1,0,0,100,680,598,228,-1,
52,4,1,3,1,1,0,100,680,598,36,-1,
53,5,1,3,1,1,1,100,680,114,29,93,Cashier:
54,5,1,3,1,1,2,238,682,40,28,93,113
55,5,1,3,1,1,3,295,682,103,29,93,CASHIER
56,5,1,3,1,1,4,536,683,99,33,90,Pax(s):
57,5,1,3,1,1,5,685,686,13,26,40,O
58,4,1,3,1,2,0,100,758,598,34,-1,
59,5,1,3,1,2,1,100,758,42,32,41,Oty
60,5,1,3,1,2,2,189,758,164,34,85,Description
61,5,1,3,1,2,3,565,760,70,31,91,Total
62,5,1,3,1,2,4,655,762,43,29,92,TAX
63,4,1,3,1,3,0,147,836,506,32,-1,
64,5,1,3,1,3,1,147,836,7,28,57,1
65,5,1,3,1,3,2,490,839,13,28,93,D
66,5,1,3,1,3,3,535,839,73,28,93,28.00
67,5,1,3,1,3,4,625,840,28,28,88,SR
68,4,1,3,1,4,0,101,873,101,35,-1,
69,5,1,3,1,4,1,101,873,101,35,72,Tilapia
70,3,1,3,2,0,0,98,914,555,68,-1,
71,4,1,3,2,1,0,146,914,507,32,-1,
72,5,1,3,2,1,1,146,914,7,26,97,1
73,5,1,3,2,1,2,490,917,13,27,93,D
74,5,1,3,2,1,3,537,917,71,27,93,16.00
75,5,1,3,2,1,4,624,918,29,28,72,SR
76,4,1,3,2,2,0,98,952,134,30,-1,
77,5,1,3,2,2,1,98,952,59,30,92,Vege
78,5,1,3,2,2,2,176,952,56,28,61,iten
79,3,1,3,3,0,0,99,990,553,65,-1,
80,4,1,3,3,1,0,146,990,506,31,-1,
81,5,1,3,3,1,1,146,990,7,26,96,1
82,5,1,3,3,1,2,489,992,13,27,91,D
83,5,1,3,3,1,3,549,993,58,28,27,7.00
84,5,1,3,3,1,4,624,994,28,27,27,SR
85,4,1,3,3,2,0,99,1027,148,28,-1,
86,5,1,3,3,2,1,99,1027,72,28,92,White
87,5,1,3,3,2,2,188,1028,59,27,93,Rice
88,3,1,3,4,0,0,98,1067,554,67,-1,
89,4,1,3,4,1,0,147,1067,505,31,-1,
90,5,1,3,4,1,1,147,1067,5,25,79,1
91,5,1,3,4,1,2,489,1068,13,28,93,D
92,5,1,3,4,1,3,548,1069,59,27,74,5.00
93,5,1,3,4,1,4,624,1070,28,28,74,SR
94,4,1,3,4,2,0,98,1104,118,30,-1,
95,5,1,3,4,2,1,98,1104,118,30,91,Beverage
96,3,1,3,5,0,0,95,1141,601,477,-1,
