,Unnamed: 0,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,0,1,1,0,0,0,0,0,0,3125,4042,-1.0,
1,1,2,1,1,0,0,0,2525,77,66,26,-1.0,
2,2,3,1,1,1,0,0,2525,77,66,26,-1.0,
3,3,4,1,1,1,1,0,2525,77,66,11,-1.0,
4,4,5,1,1,1,1,1,2525,77,9,11,76.214195,.
5,5,5,1,1,1,1,2,2579,77,12,11,62.213871,-
6,6,4,1,1,1,2,0,2528,88,61,15,-1.0,
7,7,5,1,1,1,2,1,2528,84,31,28,0.0,“?₹
8,8,5,1,1,1,2,2,2570,84,22,28,0.0,io
9,9,2,1,2,0,0,0,2609,136,42,45,-1.0,
10,10,3,1,2,1,0,0,2609,136,42,45,-1.0,
11,11,4,1,2,1,1,0,2609,136,42,45,-1.0,
12,12,5,1,2,1,1,1,2609,136,42,45,95.0, 
13,13,2,1,3,0,0,0,484,90,2163,300,-1.0,
14,14,3,1,3,1,0,0,488,90,2151,52,-1.0,
15,15,4,1,3,1,1,0,488,90,2151,52,-1.0,
16,16,5,1,3,1,1,1,488,91,270,45,92.058067,Payment
17,17,5,1,3,1,1,2,775,90,226,46,90.915215,Summa
18,18,5,1,3,1,1,3,2468,133,2,2,0.0,_
19,19,5,1,3,1,1,4,2569,116,7,17,0.0,Tia
20,20,3,1,3,2,0,0,484,101,2163,289,-1.0,
21,21,4,1,3,2,1,0,560,101,2087,98,-1.0,
22,22,5,1,3,2,1,1,560,101,35,49,89.82473,y
23,23,5,1,3,2,1,2,1010,101,58,49,26.589043,Y
24,24,5,1,3,2,1,3,2446,108,201,91,45.879726,ragito
25,25,4,1,3,2,2,0,484,229,2158,44,-1.0,
26,26,5,1,3,2,2,1,484,229,115,44,90.840157,Ride
27,27,5,1,3,2,2,2,616,231,61,41,90.840157,ID
28,28,5,1,3,2,2,3,2042,231,600,42,89.211899,RD16673613028957743
29,29,4,1,3,2,3,0,484,336,2161,54,-1.0,
30,30,5,1,3,2,3,1,484,339,126,42,92.804611,Time
31,31,5,1,3,2,3,2,629,336,49,45,91.683777,of
32,32,5,1,3,2,3,3,694,337,113,44,92.106148,Ride
33,33,5,1,3,2,3,4,2044,339,104,42,91.628899,Nov
34,34,5,1,3,2,3,5,2166,337,89,44,96.719658,2nd
