,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,751,1324,-1,
1,2,1,1,0,0,0,135,289,428,282,-1,
2,3,1,1,1,0,0,135,289,428,282,-1,
3,4,1,1,1,1,0,135,289,414,34,-1,
4,5,1,1,1,1,1,135,289,27,28,93,99
5,5,1,1,1,1,2,179,290,73,28,91,SPEED
6,5,1,1,1,1,3,269,291,58,28,67,MART
7,5,1,1,1,1,4,343,293,44,27,60,5/8
8,5,1,1,1,1,5,406,294,143,29,27,(519537-%)
9,4,1,1,1,2,0,149,329,398,40,-1,
10,5,1,1,1,2,1,149,329,43,28,93,LOT
11,5,1,1,1,2,2,208,331,54,28,63,P.T.
12,5,1,1,1,2,3,283,332,69,34,93,"2811,"
13,5,1,1,1,2,4,372,333,74,29,92,JALAN
14,5,1,1,1,2,5,463,334,84,35,33,"ANG5A,"
15,4,1,1,1,3,0,237,373,208,30,-1,
16,5,1,1,1,3,1,237,373,73,28,72,TAHAN
17,5,1,1,1,3,2,328,374,117,29,73,BERKELEY
18,4,1,1,1,4,0,192,415,314,35,-1,
19,5,1,1,1,4,1,192,415,74,28,93,41150
20,5,1,1,1,4,2,281,416,84,34,92,"KLANG,"
21,5,1,1,1,4,3,387,417,119,28,89,SELANGOR
22,4,1,1,1,5,0,177,457,327,29,-1,
23,5,1,1,1,5,1,177,457,117,28,0,1237-THH
24,5,1,1,1,5,2,311,458,73,28,87,INDAH
25,5,1,1,1,5,3,400,459,104,27,75,PERDANA
26,4,1,1,1,6,0,162,500,372,38,-1,
27,5,1,1,1,6,1,162,500,43,27,63,G5T
28,5,1,1,1,6,2,223,500,37,27,76,1D.
29,5,1,1,1,6,3,281,500,28,27,92,NO
30,5,1,1,1,6,4,327,508,7,20,78,;
31,5,1,1,1,6,5,355,501,179,37,95,000181747712
32,4,1,1,1,7,0,146,541,417,30,-1,
33,5,1,1,1,7,1,146,541,104,28,89,INVOICE
34,5,1,1,1,7,2,265,543,29,26,0,NO
35,5,1,1,1,7,3,311,550,8,20,86,:
36,5,1,1,1,7,4,341,543,222,28,41,18385/103/T0148
37,2,1,2,0,0,0,55,625,598,444,-1,
38,3,1,2,1,0,0,55,625,598,444,-1,
39,4,1,2,1,1,0,56,625,597,31,-1,
40,5,1,2,1,1,1,56,625,40,28,16,05:
41,5,1,2,1,1,2,101,625,56,28,16,03PH
42,5,1,2,1,1,3,310,627,84,28,81,50468
43,5,1,2,1,1,4,535,627,118,29,93,02-05-18
44,4,1,2,1,2,0,56,710,597,28,-1,
45,5,1,2,1,2,1,56,710,58,27,92,8402
46,5,1,2,1,2,2,131,710,43,27,33,NGH
47,5,1,2,1,2,3,190,710,58,27,87,PRAI
48,5,1,2,1,2,4,266,710,58,27,83,GULA
49,5,1,2,1,2,5,339,710,75,27,92,PASIR
50,5,1,2,1,2,6,431,710,28,27,74,1K
51,5,1,2,1,2,7,470,689,33,66,48,~
52,5,1,2,1,2,8,520,710,103,28,18,RH23.40
53,5,1,2,1,2,9,639,717,14,20,93,2
54,4,1,2,1,3,0,85,751,178,28,-1,
55,5,1,2,1,3,1,85,752,29,26,36,8
56,5,1,2,1,3,2,130,751,14,27,77,X
57,5,1,2,1,3,3,160,751,28,27,52,R
58,5,1,2,1,3,4,205,752,58,27,77,2.95
59,4,1,2,1,4,0,55,817,568,57,-1,
60,5,1,2,1,4,1,55,834,72,27,77,Total
61,5,1,2,1,4,2,146,834,73,27,86,Sales
62,5,1,2,1,4,3,239,834,145,27,90,(Inclusive
63,5,1,2,1,4,4,400,834,55,27,39,G5T)
64,5,1,2,1,4,5,475,833,41,41,39,"RH,"
65,5,1,2,1,4,6,550,817,73,44,59,25.60
66,4,1,2,1,5,0,399,875,224,28,-1,
67,5,1,2,1,5,1,399,875,59,28,90,CASH
68,5,1,2,1,5,2,475,875,29,28,74,RH'
69,5,1,2,1,5,3,549,875,74,28,90,24.00
70,4,1,2,1,6,0,370,917,254,28,-1,
71,5,1,2,1,6,1,370,917,90,27,35,CHNGE
72,5,1,2,1,6,2,475,917,29,27,48,R4
73,5,1,2,1,6,3,517,896,34,65,0,~
74,5,1,2,1,6,4,581,917,43,28,72,.40
75,4,1,2,1,7,0,56,996,580,44,-1,
76,5,1,2,1,7,1,56,1001,44,26,57,65T
77,5,1,2,1,7,2,115,1001,104,34,76,Summary
78,5,1,2,1,7,3,295,996,143,44,17,Anount(RH)
79,5,1,2,1,7,4,536,1000,100,28,61,Tan(RM)
80,4,1,2,1,8,0,55,1041,584,28,-1,
81,5,1,2,1,8,1,55,1049,14,20,88,2
82,5,1,2,1,8,2,85,1049,14,12,89,=
83,5,1,2,1,8,3,115,1041,29,28,52,01
84,5,1,2,1,8,4,370,1042,73,27,86,2.40
85,5,1,2,1,8,5,596,1042,43,27,54,00
86,2,1,3,0,0,0,57,1165,582,75,-1,
87,3,1,3,1,0,0,57,1165,582,75,-1,
88,4,1,3,1,1,0,133,1165,416,33,-1,
89,5,1,3,1,1,1,133,1166,72,27,93,Thank
90,5,1,3,1,1,2,222,1165,54,27,92,"You,"
91,5,1,3,1,1,3,296,1165,89,27,92,Please
92,5,1,3,1,1,4,401,1172,58,20,82,cone
93,5,1,3,1,1,5,476,1165,73,33,91,again
94,4,1,3,1,2,0,57,1207,582,33,-1,
95,5,1,3,1,2,1,57,1208,59,32,89,Keep
96,5,1,3,1,2,2,134,1208,42,27,92,the
97,5,1,3,1,2,3,193,1207,102,28,92,invoice
98,5,1,3,1,2,4,314,1208,40,25,92,for
99,5,1,3,1,2,5,371,1207,150,33,93,applicable
100,5,1,3,1,2,6,537,1210,102,23,90,returns
